freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.147e+03,1.055e+02,8.318e+01,1.335e+03
1.5,6.533e+02,9.501e+01,6.970e+01,8.180e+02
3.0,2.795e+01,4.441e+01,3.264e+01,1.050e+02
4.6,2.886e+02,3.803e+01,3.046e+01,3.571e+02
6.1,1.147e+03,3.914e+01,3.306e+01,1.220e+03
7.6,1.890e+03,4.723e+01,3.407e+01,1.971e+03
9.1,2.487e+03,5.058e+01,3.011e+01,2.567e+03
10.6,3.462e+03,4.620e+01,2.951e+01,3.538e+03
12.1,4.674e+03,5.074e+01,3.223e+01,4.757e+03
13.7,6.118e+03,6.751e+01,3.470e+01,6.221e+03
15.2,7.685e+03,6.811e+01,3.336e+01,7.786e+03
16.7,9.557e+03,5.159e+01,3.118e+01,9.640e+03
18.2,1.192e+04,4.945e+01,3.264e+01,1.200e+04
19.7,1.485e+04,5.376e+01,3.435e+01,1.494e+04
21.2,1.820e+04,5.915e+01,3.868e+01,1.830e+04
22.8,2.080e+04,6.458e+01,4.362e+01,2.091e+04
24.3,2.142e+04,8.364e+01,4.962e+01,2.156e+04
25.8,2.425e+04,1.049e+02,5.212e+01,2.441e+04
27.3,2.894e+04,1.115e+02,5.606e+01,2.911e+04
28.8,3.443e+04,1.507e+02,6.879e+01,3.465e+04
30.3,4.057e+04,2.148e+02,6.522e+01,4.085e+04
31.9,4.755e+04,2.517e+02,5.640e+01,4.786e+04
33.4,5.568e+04,2.523e+02,5.950e+01,5.599e+04
34.9,6.542e+04,3.014e+02,8.021e+01,6.580e+04
36.4,7.801e+04,3.880e+02,1.310e+02,7.852e+04
37.9,9.352e+04,4.504e+02,1.989e+02,9.417e+04
39.5,1.121e+05,5.462e+02,2.740e+02,1.129e+05
41.0,1.368e+05,6.324e+02,5.072e+02,1.379e+05
42.5,1.673e+05,7.922e+02,1.382e+03,1.695e+05
44.0,1.838e+05,1.808e+03,2.607e+03,1.882e+05
