freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.875e+01,1.802e+02,6.828e+01,2.773e+02
1.5,2.690e+01,1.306e+02,5.115e+01,2.087e+02
3.0,1.605e+01,4.001e+01,1.837e+01,7.443e+01
4.6,1.853e+01,3.076e+02,1.987e+01,3.460e+02
6.1,2.181e+01,1.198e+03,1.944e+01,1.239e+03
7.6,3.626e+01,2.028e+03,2.138e+01,2.086e+03
9.1,2.786e+01,2.862e+03,2.478e+01,2.915e+03
10.6,1.768e+01,4.094e+03,2.549e+01,4.137e+03
12.1,1.870e+01,5.759e+03,3.129e+01,5.809e+03
13.7,3.104e+01,7.887e+03,3.902e+01,7.957e+03
15.2,5.796e+01,8.300e+03,4.542e+01,8.403e+03
16.7,7.619e+01,8.962e+03,6.185e+01,9.100e+03
18.2,9.252e+01,1.119e+04,9.822e+01,1.139e+04
19.7,9.306e+01,1.402e+04,1.479e+02,1.426e+04
21.2,7.790e+01,1.835e+04,2.137e+02,1.864e+04
22.8,8.897e+01,2.404e+04,3.330e+02,2.446e+04
24.3,1.140e+02,2.974e+04,5.066e+02,3.036e+04
25.8,1.115e+02,3.501e+04,6.900e+02,3.581e+04
27.3,8.204e+01,3.868e+04,6.877e+02,3.945e+04
28.8,6.665e+01,4.123e+04,5.123e+02,4.181e+04
30.3,9.717e+01,4.425e+04,4.745e+02,4.483e+04
31.9,1.932e+02,4.653e+04,6.579e+02,4.738e+04
33.4,3.217e+02,4.922e+04,8.723e+02,5.041e+04
34.9,4.431e+02,4.948e+04,1.180e+03,5.110e+04
36.4,6.396e+02,4.848e+04,1.741e+03,5.086e+04
37.9,9.289e+02,4.877e+04,2.350e+03,5.205e+04
39.4,1.166e+03,4.988e+04,2.662e+03,5.371e+04
41.0,1.396e+03,5.162e+04,2.933e+03,5.595e+04
42.5,1.852e+03,5.667e+04,3.906e+03,6.242e+04
44.0,2.434e+03,6.463e+04,5.997e+03,7.306e+04
45.5,2.886e+03,7.566e+04,9.134e+03,8.767e+04
47.0,2.698e+03,8.969e+04,1.121e+04,1.036e+05
48.5,2.596e+03,1.086e+05,1.301e+04,1.242e+05
50.1,3.114e+03,1.401e+05,1.777e+04,1.610e+05
51.6,4.263e+03,1.562e+05,2.136e+04,1.818e+05
53.1,5.642e+03,1.753e+05,2.566e+04,2.066e+05
54.6,7.557e+03,2.084e+05,3.268e+04,2.487e+05
56.1,8.939e+03,2.211e+05,3.794e+04,2.680e+05
57.6,1.051e+04,2.093e+05,4.075e+04,2.606e+05
59.2,1.357e+04,1.654e+05,3.606e+04,2.151e+05
60.7,2.102e+04,1.185e+05,2.883e+04,1.684e+05
62.2,3.523e+04,8.472e+04,2.436e+04,1.443e+05
63.7,4.805e+04,6.275e+04,2.273e+04,1.335e+05
65.2,5.812e+04,4.878e+04,2.413e+04,1.310e+05
66.8,6.295e+04,4.078e+04,3.091e+04,1.346e+05
68.3,5.803e+04,3.602e+04,4.184e+04,1.359e+05
69.8,4.627e+04,3.039e+04,4.675e+04,1.234e+05
